movies,year,genre,rating,brief summary,votes,director,actor,count_actors,count_directors,rating category,voting category
The Revenant,2015,"Action, Adventure, Drama            ",8.0,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,732244,Alejandro G,"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson",4,1,High,Very Popular
Polar,2019,"Action, Crime, Drama            ",6.3,"A retiring assassin suddenly finds himself on the receiving end of a hit, contracted by none other than his own employer seeking to cash in on the pensions of aging employees.",80553,Jonas Åkerlund,"Mads Mikkelsen, Vanessa Hudgens, Katheryn Winnick, Fei Ren",4,1,Moderate,Very Popular
The Lord of the Rings: The Two Towers,2002,"Action, Adventure, Drama            ",8.7,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",1529752,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom",4,1,High,Very Popular
Legally Blonde,2001,"Comedy, Romance            ",6.3,"Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school. While she is there, she figures out that there is more to her than just looks.",195752,Robert Luketic,"Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis",4,1,Moderate,Very Popular
Rust Creek,2018,"Crime, Drama, Thriller            ",5.9,An overachieving college student gets lost on her way to a job interview. A wrong turn leaves her stranded deep in the Kentucky forest.,9263,Jen McGowan,"Hermione Corfield, Jay Paulson, Sean O",3,1,Moderate,Popular
Ocean's Eight,2018,"Action, Comedy, Crime            ",6.3,Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.,197909,Gary Ross,"Sandra Bullock, Cate Blanchett, Anne Hathaway, Mindy Kaling",4,1,Moderate,Very Popular
America: The Motion Picture,2021,"Animation, Action, Adventure            ",5.7,A chainsaw-wielding George Washington teams with beer-loving bro Sam Adams to take down the Brits in a tongue-in-cheek riff on the American Revolution.,4485,Matt Thompson,"Channing Tatum, Jason Mantzoukas, Olivia Munn, Bobby Moynihan",4,1,Moderate,Popular
2001: A Space Odyssey,1968,"Adventure, Sci-Fi            ",8.3,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",622998,Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter",4,1,High,Very Popular
Batman v Superman: Dawn of Justice,2016,"Action, Adventure, Sci-Fi            ",6.4,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",657423,Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg",4,1,Moderate,Very Popular
Cider no yô ni kotoba ga wakiagaru,2020,"Animation, Drama, Romance            ",7.0,"A meeting and romance starts between two people with communication issues - a boy who wears headphones and uses haiku poems, and a shy girl who wears a mask and only does online videos.",941,Kyohei Ishiguro,"Somegorô Ichikawa, Hana Sugisaki, Kimberley Wong, Victoria Grace",4,1,High,Average
